"archivo","origen_en_dataset","dataset","pagina_dataset"
"gato-001.jpg","test/cats/cat_1.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-002.jpg","test/cats/cat_106.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-003.jpg","test/cats/cat_109.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-004.jpg","test/cats/cat_113.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-005.jpg","test/cats/cat_114.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-006.jpg","test/cats/cat_116.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-007.jpg","test/cats/cat_118.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-008.jpg","test/cats/cat_119.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-009.jpg","test/cats/cat_124.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-010.jpg","test/cats/cat_140.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-011.jpg","test/cats/cat_147.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-012.jpg","test/cats/cat_156.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-013.jpg","test/cats/cat_158.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-014.jpg","test/cats/cat_162.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-015.jpg","test/cats/cat_18.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-016.jpg","test/cats/cat_190.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-017.jpg","test/cats/cat_203.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-018.jpg","test/cats/cat_223.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-019.jpg","test/cats/cat_234.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-020.jpg","test/cats/cat_244.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-021.jpg","test/cats/cat_251.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-022.jpg","test/cats/cat_255.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-023.jpg","test/cats/cat_268.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-024.jpg","test/cats/cat_279.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-025.jpg","test/cats/cat_281.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-026.jpg","test/cats/cat_290.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-027.jpg","test/cats/cat_306.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-028.jpg","test/cats/cat_313.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-029.jpg","test/cats/cat_332.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-030.jpg","test/cats/cat_341.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-031.jpg","test/cats/cat_342.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-032.jpg","test/cats/cat_355.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-033.jpg","test/cats/cat_358.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-034.jpg","test/cats/cat_371.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-035.jpg","test/cats/cat_375.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-036.jpg","test/cats/cat_384.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-037.jpg","test/cats/cat_395.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-038.jpg","test/cats/cat_417.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-039.jpg","test/cats/cat_418.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-040.jpg","test/cats/cat_422.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-041.jpg","test/cats/cat_430.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-042.jpg","test/cats/cat_433.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-043.jpg","test/cats/cat_446.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"gato-044.jpg","test/cats/cat_464.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
