"archivo","origen_en_dataset","dataset","pagina_dataset"
"perro-001.jpg","test/dogs/dog_114.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-002.jpg","test/dogs/dog_123.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-003.jpg","test/dogs/dog_124.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-004.jpg","test/dogs/dog_130.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-005.jpg","test/dogs/dog_141.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-006.jpg","test/dogs/dog_142.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-007.jpg","test/dogs/dog_147.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-008.jpg","test/dogs/dog_150.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-009.jpg","test/dogs/dog_155.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-010.jpg","test/dogs/dog_159.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-011.jpg","test/dogs/dog_168.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-012.jpg","test/dogs/dog_173.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-013.jpg","test/dogs/dog_177.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-014.jpg","test/dogs/dog_181.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-015.jpg","test/dogs/dog_191.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-016.jpg","test/dogs/dog_194.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-017.jpg","test/dogs/dog_196.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-018.jpg","test/dogs/dog_197.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
"perro-019.jpg","test/dogs/dog_211.jpg","Cats and Dogs Image Classification","https://www.kaggle.com/datasets/samuelcortinhas/cats-and-dogs-image-classification"
